"
Conjugate in the Present Tense
ser
to be
","
ser
(present tense)
yo soy
tú eres
él, ella, Ud. es
nosotros somos
vosotros sois
ellos, Uds. son
"
"
Conjugate in the Present Tense
firmar
to sign
","
firmar
(present tense)
yo firmo
tú firmas
él, ella, Ud. firma
nosotros firmamos
vosotros firmáis
ellos, Uds. firman
"
"
Conjugate in the Present Tense
mudarse
to move (homes)
","
mudarse
(present tense)
yo me mudo
tú te mudas
él, ella, Ud. se muda
nosotros nos mudamos
vosotros os mudáis
ellos, Uds. se mudan
"
"
Conjugate in the Present Tense
reunirse
to meet, to get together
","
reunirse
(present tense)
yo me reúno
tú te reúnes
él, ella, Ud. se reúne
nosotros nos reunimos
vosotros os reunís
ellos, Uds. se reúnen
"
"
Conjugate in the Present Tense
prestar
to lend
","
prestar
(present tense)
yo presto
tú prestas
él, ella, Ud. presta
nosotros prestamos
vosotros prestáis
ellos, Uds. prestan
"
"
Conjugate in the Present Tense
exigir
to require, to demand
","
exigir
(present tense)
yo exijo
tú exiges
él, ella, Ud. exige
nosotros exigimos
vosotros exigís
ellos, Uds. exigen
"
"
Conjugate in the Present Tense
envolver
to wrap
","
envolver
(present tense)
yo envuelvo
tú envuelves
él, ella, Ud. envuelve
nosotros envolvemos
vosotros envolvéis
ellos, Uds. envuelven
"
"
Conjugate in the Present Tense
broncear
to get suntanned
","
broncear
(present tense)
yo bronceo
tú bronceas
él, ella, Ud. broncea
nosotros bronceamos
vosotros bronceáis
ellos, Uds. broncean
"
"
Conjugate in the Present Tense
afeitarse
to shave
","
afeitarse
(present tense)
yo me afeito
tú te afeitas
él, ella, Ud. se afeita
nosotros nos afeitamos
vosotros os afeitáis
ellos, Uds. se afeitan
"
"
Conjugate in the Present Tense
resolver
to solve
","
resolver
(present tense)
yo resuelvo
tú resuelves
él, ella, Ud. resuelve
nosotros resolvemos
vosotros resolvéis
ellos, Uds. resuelven
"
"
Conjugate in the Present Tense
mojar
to wet, to dip
","
mojar
(present tense)
yo mojo
tú mojas
él, ella, Ud. moja
nosotros mojamos
vosotros mojáis
ellos, Uds. mojan
"
"
Conjugate in the Present Tense
terminar
to end
","
terminar
(present tense)
yo termino
tú terminas
él, ella, Ud. termina
nosotros terminamos
vosotros termináis
ellos, Uds. terminan
"
"
Conjugate in the Present Tense
desear
to wish, to desire
","
desear
(present tense)
yo deseo
tú deseas
él, ella, Ud. desea
nosotros deseamos
vosotros deseáis
ellos, Uds. desean
"
"
Conjugate in the Present Tense
cumplir
to complete
","
cumplir
(present tense)
yo cumplo
tú cumples
él, ella, Ud. cumple
nosotros cumplimos
vosotros cumplís
ellos, Uds. cumplen
"
"
Conjugate in the Present Tense
barrer
to sweep
","
barrer
(present tense)
yo barro
tú barres
él, ella, Ud. barre
nosotros barremos
vosotros barréis
ellos, Uds. barren
"
"
Conjugate in the Present Tense
calentar
to heat
","
calentar
(present tense)
yo caliento
tú calientas
él, ella, Ud. calienta
nosotros calentamos
vosotros calentáis
ellos, Uds. calientan
"
"
Conjugate in the Present Tense
caer/caerse
to fall
","
caer/caerse
(present tense)
yo caigo
tú caes
él, ella, Ud. cae
nosotros caemos
vosotros caéis
ellos, Uds. caen
"
"
Conjugate in the Present Tense
caber
to fit
","
caber
(present tense)
yo quepo
tú cabes
él, ella, Ud. cabe
nosotros cabemos
vosotros cabéis
ellos, Uds. caben
"
"
Conjugate in the Present Tense
nacer
to be born
","
nacer
(present tense)
yo nazco
tú naces
él, ella, Ud. nace
nosotros nacemos
vosotros nacéis
ellos, Uds. nacen
"
"
Conjugate in the Present Tense
conseguir
to get, to obtain
","
conseguir
(present tense)
yo consigo
tú consigues
él, ella, Ud. consigue
nosotros conseguimos
vosotros conseguís
ellos, Uds. consiguen
"
"
Conjugate in the Present Tense
bajar
to go down
","
bajar
(present tense)
yo bajo
tú bajas
él, ella, Ud. baja
nosotros bajamos
vosotros bajáis
ellos, Uds. bajan
"
"
Conjugate in the Present Tense
desayunar
to eat breakfast
","
desayunar
(present tense)
yo desayuno
tú desayunas
él, ella, Ud. desayuna
nosotros desayunamos
vosotros desayunáis
ellos, Uds. desayunan
"
"
Conjugate in the Present Tense
recibir
to receive
","
recibir
(present tense)
yo recibo
tú recibes
él, ella, Ud. recibe
nosotros recibimos
vosotros recibís
ellos, Uds. reciben
"
"
Conjugate in the Present Tense
ducharse
to take a shower
","
ducharse
(present tense)
yo me ducho
tú te duchas
él, ella, Ud. se ducha
nosotros nos duchamos
vosotros os ducháis
ellos, Uds. se duchan
"
"
Conjugate in the Present Tense
cansarse
to tire
","
cansarse
(present tense)
yo me canso
tú te cansas
él, ella, Ud. se cansa
nosotros nos cansamos
vosotros os cansáis
ellos, Uds. se cansan
"
"
Conjugate in the Present Tense
llenar
to fill
","
llenar
(present tense)
yo lleno
tú llenas
él, ella, Ud. llena
nosotros llenamos
vosotros llenáis
ellos, Uds. llenan
"
"
Conjugate in the Present Tense
cambiar
to change
","
cambiar
(present tense)
yo cambio
tú cambias
él, ella, Ud. cambia
nosotros cambiamos
vosotros cambiáis
ellos, Uds. cambian
"
"
Conjugate in the Present Tense
significar
to mean
","
significar
(present tense)
yo significo
tú significas
él, ella, Ud. significa
nosotros significamos
vosotros significáis
ellos, Uds. significan
"
"
Conjugate in the Present Tense
disfrutar
to enjoy
","
disfrutar
(present tense)
yo disfruto
tú disfrutas
él, ella, Ud. disfruta
nosotros disfrutamos
vosotros disfrutáis
ellos, Uds. disfrutan
"
"
Conjugate in the Present Tense
callar
to quiet
","
callar
(present tense)
yo callo
tú callas
él, ella, Ud. calla
nosotros callamos
vosotros calláis
ellos, Uds. callan
"
"
Conjugate in the Present Tense
medir
to measure
","
medir
(present tense)
yo mido
tú mides
él, ella, Ud. mide
nosotros medimos
vosotros medís
ellos, Uds. miden
"
"
Conjugate in the Present Tense
cuidar
to care for
","
cuidar
(present tense)
yo cuido
tú cuidas
él, ella, Ud. cuida
nosotros cuidamos
vosotros cuidáis
ellos, Uds. cuidan
"
"
Conjugate in the Present Tense
apagar
to turn off
","
apagar
(present tense)
yo apago
tú apagas
él, ella, Ud. apaga
nosotros apagamos
vosotros apagáis
ellos, Uds. apagan
"
"
Conjugate in the Present Tense
interesar
to interest
","
interesar
(present tense)
yo intereso
tú interesas
él, ella, Ud. interesa
nosotros interesamos
vosotros interesáis
ellos, Uds. interesan
"
"
Conjugate in the Present Tense
borrar
to erase
","
borrar
(present tense)
yo borro
tú borras
él, ella, Ud. borra
nosotros borramos
vosotros borráis
ellos, Uds. borran
"
"
Conjugate in the Present Tense
aburrir
to bore
","
aburrir
(present tense)
yo aburro
tú aburres
él, ella, Ud. aburre
nosotros aburrimos
vosotros aburrís
ellos, Uds. aburren
"
"
Conjugate in the Present Tense
aceptar
to accept
","
aceptar
(present tense)
yo acepto
tú aceptas
él, ella, Ud. acepta
nosotros aceptamos
vosotros aceptáis
ellos, Uds. aceptan
"
"
Conjugate in the Present Tense
marcar
to mark, to dial
","
marcar
(present tense)
yo marco
tú marcas
él, ella, Ud. marca
nosotros marcamos
vosotros marcáis
ellos, Uds. marcan
"
"
Conjugate in the Present Tense
echar
to expel, to pour
","
echar
(present tense)
yo echo
tú echas
él, ella, Ud. echa
nosotros echamos
vosotros echáis
ellos, Uds. echan
"
"
Conjugate in the Present Tense
enojar
to anger
","
enojar
(present tense)
yo enojo
tú enojas
él, ella, Ud. enoja
nosotros enojamos
vosotros enojáis
ellos, Uds. enojan
"
"
Conjugate in the Present Tense
asustar
to scare, to frighten
","
asustar
(present tense)
yo asusto
tú asustas
él, ella, Ud. asusta
nosotros asustamos
vosotros asustáis
ellos, Uds. asustan
"
"
Conjugate in the Present Tense
enfermarse
to get sick
","
enfermarse
(present tense)
yo me enfermo
tú te enfermas
él, ella, Ud. se enferma
nosotros nos enfermamos
vosotros os enfermáis
ellos, Uds. se enferman
"
"
Conjugate in the Present Tense
merecer
to deserve
","
merecer
(present tense)
yo merezco
tú mereces
él, ella, Ud. merece
nosotros merecemos
vosotros merecéis
ellos, Uds. merecen
"
"
Conjugate in the Present Tense
dirigir
to direct
","
dirigir
(present tense)
yo dirijo
tú diriges
él, ella, Ud. dirige
nosotros dirigimos
vosotros dirigís
ellos, Uds. dirigen
"
"
Conjugate in the Present Tense
tirar
to throw
","
tirar
(present tense)
yo tiro
tú tiras
él, ella, Ud. tira
nosotros tiramos
vosotros tiráis
ellos, Uds. tiran
"
"
Conjugate in the Present Tense
encender
to turn on, to light
","
encender
(present tense)
yo enciendo
tú enciendes
él, ella, Ud. enciende
nosotros encendemos
vosotros encendéis
ellos, Uds. encienden
"
"
Conjugate in the Present Tense
acostumbrarse
to get used to
","
acostumbrarse
(present tense)
yo me acostumbro
tú te acostumbras
él, ella, Ud. se acostumbra
nosotros nos acostumbramos
vosotros os acostumbráis
ellos, Uds. se acostumbran
"
"
Conjugate in the Present Tense
burlarse
to make fun of
","
burlarse
(present tense)
yo me burlo
tú te burlas
él, ella, Ud. se burla
nosotros nos burlamos
vosotros os burláis
ellos, Uds. se burlan
"
"
Conjugate in the Present Tense
recomendar
to recommend
","
recomendar
(present tense)
yo recomiendo
tú recomiendas
él, ella, Ud. recomienda
nosotros recomendamos
vosotros recomendáis
ellos, Uds. recomiendan
"
"
Conjugate in the Present Tense
despedirse
to say goodbye
","
despedirse
(present tense)
yo me despido
tú te despides
él, ella, Ud. se despide
nosotros nos despedimos
vosotros os despedís
ellos, Uds. se despiden
"
"
Conjugate in the Present Tense
presentar
to present
","
presentar
(present tense)
yo presento
tú presentas
él, ella, Ud. presenta
nosotros presentamos
vosotros presentáis
ellos, Uds. presentan
"
"
Conjugate in the Present Tense
jurar
to swear, to testify
","
jurar
(present tense)
yo juro
tú juras
él, ella, Ud. jura
nosotros juramos
vosotros juráis
ellos, Uds. juran
"
"
Conjugate in the Present Tense
fabricar
to manufacture
","
fabricar
(present tense)
yo fabrico
tú fabricas
él, ella, Ud. fabrica
nosotros fabricamos
vosotros fabricáis
ellos, Uds. fabrican
"
"
Conjugate in the Present Tense
ejercer
to exercise
","
ejercer
(present tense)
yo ejerzo
tú ejerces
él, ella, Ud. ejerce
nosotros ejercemos
vosotros ejercéis
ellos, Uds. ejercen
"
"
Conjugate in the Present Tense
bendecir
to bless
","
bendecir
(present tense)
yo bendigo
tú bendices
él, ella, Ud. bendice
nosotros bendecimos
vosotros bendecís
ellos, Uds. bendicen
"
"
Conjugate in the Present Tense
felicitar
to congratulate
","
felicitar
(present tense)
yo felicito
tú felicitas
él, ella, Ud. felicita
nosotros felicitamos
vosotros felicitáis
ellos, Uds. felicitan
"
"
Conjugate in the Present Tense
bostezar
to yawn
","
bostezar
(present tense)
yo bostezo
tú bostezas
él, ella, Ud. bosteza
nosotros bostezamos
vosotros bostezáis
ellos, Uds. bostezan
"
"
Conjugate in the Present Tense
sonar
to sound, to ring
","
sonar
(present tense)
yo sueno
tú suenas
él, ella, Ud. suena
nosotros sonamos
vosotros sonáis
ellos, Uds. suenan
"
"
Conjugate in the Present Tense
soplar
to blow
","
soplar
(present tense)
yo soplo
tú soplas
él, ella, Ud. sopla
nosotros soplamos
vosotros sopláis
ellos, Uds. soplan
"
"
Conjugate in the Present Tense
coger
to grab
","
coger
(present tense)
yo cojo
tú coges
él, ella, Ud. coge
nosotros cogemos
vosotros cogéis
ellos, Uds. cogen
"
"
Conjugate in the Present Tense
sorprender
to surprise
","
sorprender
(present tense)
yo sorprendo
tú sorprendes
él, ella, Ud. sorprende
nosotros sorprendemos
vosotros sorprendéis
ellos, Uds. sorprenden
"
"
Conjugate in the Present Tense
lanzar
to launch, to throw
","
lanzar
(present tense)
yo lanzo
tú lanzas
él, ella, Ud. lanza
nosotros lanzamos
vosotros lanzáis
ellos, Uds. lanzan
"
"
Conjugate in the Present Tense
prohibir
to prohibit
","
prohibir
(present tense)
yo prohíbo
tú prohíbes
él, ella, Ud. prohíbe
nosotros prohibimos
vosotros prohibís
ellos, Uds. prohíben
"
"
Conjugate in the Present Tense
ocultar
to hide
","
ocultar
(present tense)
yo oculto
tú ocultas
él, ella, Ud. oculta
nosotros ocultamos
vosotros ocultáis
ellos, Uds. ocultan
"
"
Conjugate in the Present Tense
dudar
to doubt
","
dudar
(present tense)
yo dudo
tú dudas
él, ella, Ud. duda
nosotros dudamos
vosotros dudáis
ellos, Uds. dudan
"
"
Conjugate in the Present Tense
decidir
to decide
","
decidir
(present tense)
yo decido
tú decides
él, ella, Ud. decide
nosotros decidimos
vosotros decidís
ellos, Uds. deciden
"
"
Conjugate in the Present Tense
incluir
to include
","
incluir
(present tense)
yo incluyo
tú incluyes
él, ella, Ud. incluye
nosotros incluimos
vosotros incluís
ellos, Uds. incluyen
"
"
Conjugate in the Present Tense
atacar
to attack
","
atacar
(present tense)
yo ataco
tú atacas
él, ella, Ud. ataca
nosotros atacamos
vosotros atacáis
ellos, Uds. atacan
"
"
Conjugate in the Present Tense
habitar
to live, to inhabit
","
habitar
(present tense)
yo habito
tú habitas
él, ella, Ud. habita
nosotros habitamos
vosotros habitáis
ellos, Uds. habitan
"
"
Conjugate in the Present Tense
alzar
to raise
","
alzar
(present tense)
yo alzo
tú alzas
él, ella, Ud. alza
nosotros alzamos
vosotros alzáis
ellos, Uds. alzan
"
"
Conjugate in the Present Tense
permitir
to permit
","
permitir
(present tense)
yo permito
tú permites
él, ella, Ud. permite
nosotros permitimos
vosotros permitís
ellos, Uds. permiten
"
"
Conjugate in the Present Tense
organizar
to organize
","
organizar
(present tense)
yo organizo
tú organizas
él, ella, Ud. organiza
nosotros organizamos
vosotros organizáis
ellos, Uds. organizan
"
"
Conjugate in the Present Tense
pasear
to stroll, to walk around
","
pasear
(present tense)
yo paseo
tú paseas
él, ella, Ud. pasea
nosotros paseamos
vosotros paseáis
ellos, Uds. pasean
"
"
Conjugate in the Present Tense
andar
to stroll
","
andar
(present tense)
yo ando
tú andas
él, ella, Ud. anda
nosotros andamos
vosotros andáis
ellos, Uds. andan
"
"
Conjugate in the Present Tense
chupar
to suck
","
chupar
(present tense)
yo chupo
tú chupas
él, ella, Ud. chupa
nosotros chupamos
vosotros chupáis
ellos, Uds. chupan
"
"
Conjugate in the Present Tense
gruñir
to growl, to grunt
","
gruñir
(present tense)
yo gruño
tú gruñes
él, ella, Ud. gruñe
nosotros gruñimos
vosotros gruñís
ellos, Uds. gruñen
"
"
Conjugate in the Present Tense
gemir
to moan, to whine
","
gemir
(present tense)
yo gimo
tú gimes
él, ella, Ud. gime
nosotros gemimos
vosotros gemís
ellos, Uds. gimen
"
"
Conjugate in the Present Tense
herir
to wound, to hurt
","
herir
(present tense)
yo hiero
tú hieres
él, ella, Ud. hiere
nosotros herimos
vosotros herís
ellos, Uds. hieren
"
"
Conjugate in the Present Tense
convenir
to be convenient
","
convenir
(present tense)
yo convengo
tú convienes
él, ella, Ud. conviene
nosotros convenimos
vosotros convenís
ellos, Uds. convienen
"
"
Conjugate in the Present Tense
convertir
to convert
","
convertir
(present tense)
yo convierto
tú conviertes
él, ella, Ud. convierte
nosotros convertimos
vosotros convertís
ellos, Uds. convierten
"
"
Conjugate in the Present Tense
ahorrar
to save (money)
","
ahorrar
(present tense)
yo ahorro
tú ahorras
él, ella, Ud. ahorra
nosotros ahorramos
vosotros ahorráis
ellos, Uds. ahorran
"
"
Conjugate in the Present Tense
señalar
to point
","
señalar
(present tense)
yo señalo
tú señalas
él, ella, Ud. señala
nosotros señalamos
vosotros señaláis
ellos, Uds. señalan
"
"
Conjugate in the Present Tense
agarrar
to grab, to hold
","
agarrar
(present tense)
yo agarro
tú agarras
él, ella, Ud. agarra
nosotros agarramos
vosotros agarráis
ellos, Uds. agarran
"
"
Conjugate in the Present Tense
utilizar
to use
","
utilizar
(present tense)
yo utilizo
tú utilizas
él, ella, Ud. utiliza
nosotros utilizamos
vosotros utilizáis
ellos, Uds. utilizan
"
"
Conjugate in the Present Tense
ocupar
to occupy
","
ocupar
(present tense)
yo ocupo
tú ocupas
él, ella, Ud. ocupa
nosotros ocupamos
vosotros ocupáis
ellos, Uds. ocupan
"
"
Conjugate in the Present Tense
saltar
to jump
","
saltar
(present tense)
yo salto
tú saltas
él, ella, Ud. salta
nosotros saltamos
vosotros saltáis
ellos, Uds. saltan
"
"
Conjugate in the Present Tense
ocurrir
to happen, to occur
","
ocurrir
(present tense)
yo ocurro
tú ocurres
él, ella, Ud. ocurre
nosotros ocurrimos
vosotros ocurrís
ellos, Uds. ocurren
"
"
Conjugate in the Present Tense
mencionar
to mention
","
mencionar
(present tense)
yo menciono
tú mencionas
él, ella, Ud. menciona
nosotros mencionamos
vosotros mencionáis
ellos, Uds. mencionan
"
"
Conjugate in the Present Tense
obedecer
to obey
","
obedecer
(present tense)
yo obedezco
tú obedeces
él, ella, Ud. obedece
nosotros obedecemos
vosotros obedecéis
ellos, Uds. obedecen
"
"
Conjugate in the Present Tense
proteger
to protect
","
proteger
(present tense)
yo protejo
tú proteges
él, ella, Ud. protege
nosotros protegemos
vosotros protegéis
ellos, Uds. protegen
"
"
Conjugate in the Present Tense
montar
to get on, to get into
","
montar
(present tense)
yo monto
tú montas
él, ella, Ud. monta
nosotros montamos
vosotros montáis
ellos, Uds. montan
"
"
Conjugate in the Present Tense
cruzar
to cross
","
cruzar
(present tense)
yo cruzo
tú cruzas
él, ella, Ud. cruza
nosotros cruzamos
vosotros cruzáis
ellos, Uds. cruzan
"
"
Conjugate in the Present Tense
suceder
to happen, to occur
","
suceder
(present tense)
yo sucedo
tú sucedes
él, ella, Ud. sucede
nosotros sucedemos
vosotros sucedéis
ellos, Uds. suceden
"
"
Conjugate in the Present Tense
detener
to stop, to detain
","
detener
(present tense)
yo detengo
tú detienes
él, ella, Ud. detiene
nosotros detenemos
vosotros detenéis
ellos, Uds. detienen
"
"
Conjugate in the Present Tense
juntar
to put together, to join
","
juntar
(present tense)
yo junto
tú juntas
él, ella, Ud. junta
nosotros juntamos
vosotros juntáis
ellos, Uds. juntan
"
"
Conjugate in the Present Tense
averiguar
to figure out
","
averiguar
(present tense)
yo averiguo
tú averiguas
él, ella, Ud. averigua
nosotros averiguamos
vosotros averiguáis
ellos, Uds. averiguan
"
"
Conjugate in the Present Tense
acabar
to finish, to have just
","
acabar
(present tense)
yo acabo
tú acabas
él, ella, Ud. acaba
nosotros acabamos
vosotros acabáis
ellos, Uds. acaban
"
